complaint,emotion
"Sewage leak on the road in beside the park, causing dangerous slippery surface.",anger
"No zebra crossing near the busy junction in at the bus stop, Madurai; pedestrians at risk.",anger
"No zebra crossing near the busy junction in in our colony, Guwahati; pedestrians at risk.",anger
Child developed rashes after drinking municipal water in behind the apartment.,anger
Food poisoning after eating at the canteen in Hyderabad; many falling sick.,anger
"Students fell ill after eating from the vegetable stall in inside the hostel, Delhi.",anger
"Overflowing drain in at the bus stop, Visakhapatnam attracting insects.",anger
"Students fell ill after eating from the tea stall in near the temple, Hyderabad.",anger
"Students fell ill after eating from the tea stall in near the temple, Bengaluru.",anger
"Pipeline leakage near next to the metro station, Jaipur wasting huge amounts of water.",anger
"Overflowing drain in beside the park, Indore attracting insects.",anger
Child developed rashes after drinking municipal water in beside the park.,anger
Food poisoning after eating at the canteen in Bhopal; many falling sick.,anger
"Overflowing drain in by the lake, Chennai smells bad and attracts flies.",anger
"Students fell ill after eating from the restaurant in opposite the hospital, Mysuru.",anger
"Students fell ill after eating from the restaurant in in our colony, Indore.",anger
Child developed rashes after drinking municipal water in by the lake.,anger
"Overflowing drain in by the lake, Madurai attracting insects.",anger
"Students fell ill after eating from the ration shop in near the temple, Lucknow.",anger
"Sewage water overflowing onto the road in at the bus stop, Hyderabad.",anger
Food poisoning after eating at the canteen in Madurai; many falling sick.,anger
"Pipeline leakage near opposite the hospital, Hyderabad wasting huge amounts of water.",anger
"Overflowing drain in at the bus stop, Guwahati smells bad and attracts flies.",anger
"Suspected dengue cases reported in beside the park, Pune; mosquitoes everywhere.",anger
Food poisoning cases reported after eating at canteen in Delhi.,anger
Pregnant woman denied prompt care at at the bus stop health centre.,anger
Food poisoning cases reported after eating at bakery in Mangalore.,anger
"No zebra crossing near the busy junction in in our colony, Kochi; pedestrians at risk.",anger
"Suspected dengue cases rising in behind the apartment, Bengaluru.",anger
"Busy junction at on the main road, Mysuru lacks pedestrian crossing.",anger
"Busy junction at on the main road, Mysuru lacks pedestrian crossing.",anger
"No zebra crossing near the busy junction in near the market, Delhi; pedestrians at risk.",anger
Essential medicines unavailable at hospital pharmacy in Mumbai.,anger
"Suspected dengue cases rising in at the bus stop, Delhi.",anger
Open burning of trash in in the municipal ward causes smoke and breathing problems.,anger
"Suspected dengue cases reported in near the market, Kolkata; mosquitoes everywhere.",anger
Open burning of trash in in the municipal ward causes smoke and breathing problems.,anger
Dairy products from bakery in Coimbatore had foul smell.,anger
Open burning of trash in on the main road causes smoke and breathing problems.,anger
"Busy junction at outside the school, Patna lacks pedestrian crossing.",anger
Open burning of trash in on the main road causes smoke and breathing problems.,anger
"Overflowing drain in at the bus stop, Coimbatore smells bad and attracts flies.",anger
"Sewage leak on the road in inside the hostel, causing dangerous slippery surface.",anger
"Sewage water overflowing onto the road in at the bus stop, Jaipur.",anger
Essential medicines unavailable at hospital pharmacy in Mumbai.,anger
Essential medicines unavailable at hospital pharmacy in Mumbai.,anger
"Borewell dried up; families in near the market, Vellore are struggling.",anger
Pregnant woman denied prompt care at on the main road health centre.,anger
"No doctor available at local PHC in in the municipal ward, Chennai.",anger
Dairy products from mess in Patna had foul smell.,anger
Tap water in opposite the hospital of Coimbatore has been muddy and smells foul.,anger
"Borewell dried up; families in near the railway station, Visakhapatnam are struggling.",anger
"No doctor available at local PHC in in the municipal ward, Thiruvananthapuram.",anger
"No doctor available at local PHC in inside the hostel, Chennai.",anger
"No doctor available at local PHC in inside the hostel, Coimbatore.",anger
Tap water in near the temple of Trichy has been muddy and smells foul.,anger
"No doctor available at local PHC in inside the hostel, Indore.",anger
"Borewell dried up; families in near the temple, Vellore are struggling.",anger
Pregnant woman denied prompt care at on the main road health centre.,anger
"Borewell dried up; families in next to the metro station, Mysuru are struggling.",anger
Essential medicines unavailable at hospital pharmacy in Lucknow.,anger
"Borewell dried up; families in on the main road, Coimbatore are struggling.",anger
Tap water in near the railway station of Chennai has been muddy and smells foul.,anger
"Several residents suffering from fever in behind the apartment, Kolkata.",anger
"No doctor available at local PHC in near the market, Pune.",anger
The biryani center is extremely unhygienic.,anger
"Several residents suffering from fever in behind the apartment, Guwahati.",anger
Pregnant woman denied prompt care at outside the school health centre.,anger
Pregnant woman denied prompt care at opposite the hospital health centre.,anger
"Multiple theft incidents reported in next to the metro station, Thiruvananthapuram.",anger
"Borewell dried up; families in in the municipal ward, Kochi are struggling.",anger
"Borewell dried up; families in in the municipal ward, Mysuru are struggling.",anger
"The food served at the ration shop in in our colony, Lucknow was stale.",anger
"The food served at the mess in outside the school, Mangalore was stale.",anger
Essential medicines unavailable at hospital pharmacy in Kochi.,anger
"Multiple theft incidents reported in opposite the hospital, Nagpur.",anger
"The food served at the mess in next to the metro station, Guwahati was stale.",anger
"Several residents suffering from fever in at the bus stop, Pune.",anger
"The food served at the fruit seller in on the main road, Patna was stale.",anger
"The food served at the fruit seller in near the railway station, Coimbatore was stale.",anger
"People dumping plastic near the empty plot in in our colony, Surat.",anger
"Garbage collection delayed for days in by the lake, Kolkata.",anger
My child developed rashes after drinking water from the municipal supply in beside the park.,anger
"Garbage collection delayed for days in by the lake, Jaipur.",anger
"No doctor available at local PHC in at the bus stop, Trichy.",anger
Frequent thefts reported in railway station parking.,anger
Essential medicines unavailable at hospital pharmacy in Madurai.,anger
Essential medicines unavailable at hospital pharmacy in Madurai.,anger
"Borewell has run dry; villagers in on the main road, Bhopal need a new source.",anger
Essential medicines unavailable at hospital pharmacy in Mangalore.,anger
"Several residents suffering from fever in near the railway station, Bhopal.",anger
"Borewell has run dry; villagers in on the main road, Patna need a new source.",anger
Suspicious activities noticed near near the railway station school in Hyderabad.,anger
Suspicious activities noticed near near the market school in Kochi.,anger
"Several residents suffering from fever in near the railway station, Lucknow.",anger
Essential medicines unavailable at hospital pharmacy in Mangalore.,anger
"Several residents suffering from fever in on the main road, Jaipur.",anger
Suspicious activities noticed near in the municipal ward school in Bengaluru.,anger
"No water supply since morning in at the bus stop, Bengaluru.",anger
"No water supply since morning in at the bus stop, Indore.",anger
Suspicious activities noticed near by the lake school in Pune.,anger
"No water supply since morning in at the bus stop, Madurai.",anger
"No water supply since morning in at the bus stop, Mangalore.",anger
Suspicious activities noticed near beside the park school in Pune.,anger
"Busy junction at behind the apartment, Thiruvananthapuram lacks pedestrian crossing.",anger
"Borewell has run dry; villagers in near the temple, Pune need a new source.",anger
Dairy products from local shop in Lucknow had foul smell.,anger
"No doctor available at local PHC in opposite the hospital, Mangalore.",anger
Food poisoning cases reported after eating at vegetable stall in Delhi.,anger
"Several residents suffering from fever in in our colony, Jaipur.",anger
"Several residents suffering from fever in in our colony, Mysuru.",anger
"Borewell dried up; families in opposite the hospital, Madurai are struggling.",anger
"No doctor available at local PHC in next to the metro station, Coimbatore.",anger
Food served in the college mess in Lucknow tasted rotten and caused stomach upset.,anger
Food served in the college mess in Bengaluru tasted rotten and caused stomach upset.,anger
Tap water in behind the apartment of Mysuru has been muddy and smells foul.,anger
Food poisoning cases reported after eating at vegetable stall in Thiruvananthapuram.,anger
"Busy junction at beside the park, Lucknow lacks pedestrian crossing.",anger
Tap water in at the bus stop of Patna has been discolored and smells bad for two days.,anger
Suspicious activities noticed near outside the school school in Mysuru.,anger
Suspicious activities noticed near outside the school school in Bhopal.,anger
Suspicious activities noticed near opposite the hospital school in Guwahati.,anger
Suspicious activities noticed near opposite the hospital school in Guwahati.,anger
Suspicious activities noticed near next to the metro station school in Lucknow.,anger
"Borewell has run dry; villagers in in our colony, Kochi need a new source.",anger
Suspicious activities noticed near near the temple school in Vellore.,anger
Pregnant woman denied prompt care at inside the hostel health centre.,anger
"Several residents suffering from fever in in the municipal ward, Jaipur.",anger
"Sewage water overflowing onto the road in at the bus stop, Patna.",anger
"Students fell ill after eating from the milkman in opposite the hospital, Surat.",anger
"Contaminated water coming from municipal tap in outside the school, Coimbatore.",anger
Expired snacks being sold by the street vendor in Vellore.,anger
Expired snacks being sold by the street vendor in Vellore.,anger
"Stray dogs attacking pedestrians in near the market, Kochi.",anger
"Construction debris dumped illegally near near the market, obstructing road.",anger
"Stray dogs attacking pedestrians in inside the hostel, Nagpur.",anger
"Stray dogs attacking pedestrians in inside the hostel, Lucknow.",anger
"Stray dogs attacking pedestrians in in the municipal ward, Vellore.",anger
"Packaged milk from the canteen in at the bus stop, Kochi seems diluted.",anger
Expired snacks being sold by the street vendor in Indore.,anger
"Packaged milk from the canteen in near the temple, Nagpur seems diluted.",anger
Expired snacks being sold by the restaurant in Vellore.,anger
Expired snacks being sold by the restaurant in Nagpur.,anger
"Stray dogs attacking pedestrians in by the lake, Mumbai.",anger
"Stray dogs attacking pedestrians in by the lake, Kochi.",anger
"Contaminated water coming from municipal tap in in our colony, Trichy.",anger
"People dumping plastic near the empty plot in inside the hostel, Mangalore.",anger
"Stray dogs attacking pedestrians in at the bus stop, Patna.",anger
"Sewage water overflowing onto the road in outside the school, Delhi.",anger
Stagnant water near at the bus stop creating mosquito breeding conditions.,anger
"Sewage water overflowing onto the road in outside the school, Chennai.",anger
"Construction debris dumped illegally near inside the hostel, obstructing road.",anger
"Overspeeding vehicles causing danger near by the lake, Mumbai.",anger
"Overspeeding vehicles causing danger near in the municipal ward, Thiruvananthapuram.",anger
"Street bakery cooking in unhygienic conditions in next to the metro station, Pune.",anger
"Construction debris dumped illegally near in our colony, obstructing road.",anger
"Contaminated water coming from municipal tap in inside the hostel, Delhi.",anger
"Street bakery cooking in unhygienic conditions in next to the metro station, Chennai.",anger
"People dumping plastic near the empty plot in near the railway station, Surat.",anger
"Construction debris dumped illegally near in the municipal ward, obstructing road.",anger
"Overspeeding vehicles causing danger near near the market, Madurai.",anger
"People dumping plastic near the empty plot in near the railway station, Mumbai.",anger
"People dumping plastic near the empty plot in near the railway station, Chennai.",anger
"Contaminated water coming from municipal tap in in the municipal ward, Mumbai.",anger
"Overspeeding vehicles causing danger near near the railway station, Vellore.",anger
"Stray dogs attacking pedestrians in opposite the hospital, Mangalore.",anger
"Overspeeding vehicles causing danger near near the temple, Hyderabad.",anger
"Stray dogs attacking pedestrians in next to the metro station, Mangalore.",anger
"Stray dogs attacking pedestrians in near the temple, Trichy.",anger
"Construction debris dumped illegally near inside the hostel, obstructing road.",anger
Stagnant water near at the bus stop creating mosquito breeding conditions.,anger
"Packaged milk from the street vendor in near the market, Trichy seems diluted.",anger
"Construction debris dumped illegally near next to the metro station, obstructing road.",anger
"Construction debris dumped on the roadside near beside the park, obstructing traffic.",anger
"People dumping plastic near the empty plot in at the bus stop, Chennai.",anger
"People dumping plastic near the empty plot in at the bus stop, Trichy.",anger
"Construction debris dumped on the roadside near in our colony, obstructing traffic.",anger
Stagnant water near near the market creating mosquito breeding conditions.,anger
Stagnant water near near the market creating mosquito breeding conditions.,anger
"People dumping plastic near the empty plot in inside the hostel, Chennai.",anger
Stagnant water near inside the hostel creating mosquito breeding conditions.,anger
Stagnant water near inside the hostel creating mosquito breeding conditions.,anger
"People dumping plastic near the empty plot in by the lake, Mangalore.",anger
Expired snacks being sold by the canteen in Trichy.,anger
Stagnant water near beside the park creating mosquito breeding conditions.,anger
Expired snacks being sold by the dhabha in Thiruvananthapuram.,anger
Stagnant water near in our colony creating mosquito breeding conditions.,anger
"Contaminated water coming from municipal tap in behind the apartment, Jaipur.",anger
Stagnant water near by the lake creating mosquito breeding conditions.,anger
"Contaminated water coming from municipal tap in behind the apartment, Mumbai.",anger
"Contaminated water coming from municipal tap in by the lake, Patna.",anger
"People dump plastic waste in the empty plot near inside the hostel, Nagpur.",anger
Expired snacks being sold by the mess in Madurai.,anger
Stagnant water near next to the metro station creating mosquito breeding conditions.,anger
Stagnant water near at the bus stop creating mosquito breeding conditions.,anger
"Packaged milk from the tea stall in near the temple, Delhi seems diluted.",anger
Expired snacks being sold by the ration shop in Lucknow.,anger
Standing water near the road in near the market after small rain; mosquitoes breeding.,anger
Standing water near the road in inside the hostel after small rain; mosquitoes breeding.,anger
Eve-teasing incidents have increased near the college road.,anger
"Construction debris dumped illegally near on the main road, obstructing road.",anger
Expired snacks being sold by the ration shop in Chennai.,anger
"Street canteen cooking in unhygienic conditions in behind the apartment, Bhopal.",anger
Standing water near the road in in our colony after small rain; mosquitoes breeding.,anger
Stagnant water near at the bus stop creating mosquito breeding conditions.,anger
Patient not moved because ambulance took too long to arrive from on the main road.,anger
People are dumping waste in the empty plot behind our house.,anger
"People dumping plastic near the empty plot in inside the hostel, Guwahati.",anger
Expired snacks being sold by the bakery in Kochi.,anger
"People dump plastic waste in the empty plot near in our colony, Kolkata.",anger
"Construction debris dumped illegally near opposite the hospital, obstructing road.",anger
Expired snacks being sold by the mess in Pune.,anger
Patient not moved because ambulance took too long to arrive from in the municipal ward.,anger
"Expired spices were used in the street vendor at by the lake, Kochi.",anger
"Expired spices were used in the street vendor at on the main road, Bengaluru.",anger
"Sewage water overflowing onto the road in opposite the hospital, Delhi.",anger
"Students fell ill after eating from the bakery in at the bus stop, Bengaluru.",anger
Child developed rashes after drinking municipal water in next to the metro station.,anger
Overhead tank in beside the park hasn't been cleaned; water tastes strange.,anger
"Pipeline leakage near in our colony, Indore wasting huge amounts of water.",anger
"Street vegetable stall cooking in unhygienic conditions in in our colony, Nagpur.",anger
Overhead tank in by the lake hasn't been cleaned; water tastes strange.,anger
"Contaminated water coming from municipal tap in next to the metro station, Visakhapatnam.",anger
Child developed rashes after drinking municipal water in opposite the hospital.,anger
"Sewage water overflowing onto the road in in the municipal ward, Indore.",anger
Overhead tank in in the municipal ward hasn't been cleaned; water tastes strange.,anger
"Street street vendor cooking in unhygienic conditions in next to the metro station, Mysuru.",anger
"Street restaurant cooking in unhygienic conditions in outside the school, Thiruvananthapuram.",anger
Overhead tank in inside the hostel hasn't been cleaned; water tastes strange.,anger
Overhead tank in next to the metro station hasn't been cleaned; water tastes strange.,anger
Street ration shop is preparing food with dirty utensils in Patna.,anger
Overhead tank in next to the metro station hasn't been cleaned; water tastes strange.,anger
"Street ration shop cooking in unhygienic conditions in opposite the hospital, Hyderabad.",anger
"Contaminated water coming from municipal tap in on the main road, Delhi.",anger
"Students fell ill after eating from the bakery in near the market, Kochi.",anger
"Contaminated water coming from municipal tap in on the main road, Kochi.",anger
"Students fell ill after eating from the canteen in beside the park, Surat.",anger
"Students fell ill after eating from the milkman in behind the apartment, Kochi.",anger
Essential medicines unavailable at hospital pharmacy in Thiruvananthapuram.,anger
Essential medicines unavailable at hospital pharmacy in Thiruvananthapuram.,anger
"Pipeline leakage near near the railway station, Kochi wasting huge amounts of water.",anger
"Overflowing drain in near the market, Visakhapatnam smells bad and attracts flies.",anger
"Pipeline leakage near near the railway station, Hyderabad wasting huge amounts of water.",anger
Child developed rashes after drinking municipal water in near the market.,anger
"Pipeline leakage near inside the hostel, Mumbai wasting huge amounts of water.",anger
Overhead tank in next to the metro station hasn't been cleaned; water tastes strange.,anger
"Overflowing drain in near the temple, Guwahati attracting insects.",anger
"Sewage water overflowing onto the road in in our colony, Kolkata.",anger
Food package from restaurant had tampered expiry date.,anger
Child developed rashes after drinking municipal water in near the railway station.,anger
"Overflowing drain in outside the school, Coimbatore smells bad and attracts flies.",anger
"Contaminated water coming from municipal tap in on the main road, Kolkata.",anger
Food package from ration shop had tampered expiry date.,anger
Overhead tank in behind the apartment hasn't been cleaned; water tastes strange.,anger
Overhead tank in behind the apartment hasn't been cleaned; water tastes strange.,anger
"Sewage water overflowing onto the road in by the lake, Thiruvananthapuram.",anger
Dairy products from ration shop in Coimbatore had foul smell.,anger
"Street ration shop cooking in unhygienic conditions in in our colony, Hyderabad.",anger
Food package from local shop had tampered expiry date.,anger
Food package from canteen had tampered expiry date.,anger
Food package from canteen had tampered expiry date.,anger
"Street lights are not functioning in in the municipal ward, Hyderabad; unsafe at night.",anger
"Overspeeding vehicles causing danger near at the bus stop, Kolkata.",anger
"Street lights are not functioning in in the municipal ward, Bhopal; unsafe at night.",anger
"People dumping plastic near the empty plot in next to the metro station, Surat.",anger
"People dumping plastic near the empty plot in next to the metro station, Indore.",anger
"Street lights are not functioning in in our colony, Bengaluru; unsafe at night.",anger
"Construction debris dumped illegally near behind the apartment, obstructing road.",anger
"Sewage water overflowing onto the road in on the main road, Surat.",anger
Eve-teasing incidents happen regularly on inside the hostel road in Patna.,anger
"Street lights are not functioning in behind the apartment, Hyderabad; unsafe at night.",anger
"Construction debris dumped illegally near beside the park, obstructing road.",anger
"Contaminated water coming from municipal tap in near the market, Chennai.",anger
"Street lights are not functioning in at the bus stop, Mysuru; unsafe at night.",anger
Food package from bakery had tampered expiry date.,anger
"Expired spices were used in the tea stall at on the main road, Hyderabad.",anger
"Street lights are not functioning in near the railway station, Hyderabad; unsafe at night.",anger
"Street lights are not functioning in near the railway station, Indore; unsafe at night.",anger
Overhead tank in outside the school hasn't been cleaned; water tastes strange.,anger
"Street lights are not functioning in on the main road, Patna; unsafe at night.",anger
Overhead tank in on the main road hasn't been cleaned; water tastes strange.,anger
Food package from fruit seller had tampered expiry date.,anger
Overhead tank in our building hasn't been cleaned for months in Bhopal.,anger
Children fell sick after eating mid-day meal at school in Patna.,anger
Overhead tank in our building hasn't been cleaned for months in Guwahati.,anger
Eve-teasing incidents happen regularly on beside the park road in Kochi.,anger
"Street local shop cooking in unhygienic conditions in by the lake, Kolkata.",anger
"Street local shop cooking in unhygienic conditions in behind the apartment, Pune.",anger
Street milkman is preparing food with dirty utensils in Hyderabad.,anger
"Street lights on the main road in outside the school, Visakhapatnam are not working; it's very dark at night.",anger
Eve-teasing incidents happen regularly on in our colony road in Kolkata.,anger
"Street lights on the main road in inside the hostel, Trichy are not working; it's very dark at night.",anger
Food package from dhabha had tampered expiry date.,anger
Food package from dhabha had tampered expiry date.,anger
Clinic staff at the government hospital were rude and unhelpful in Coimbatore.,anger
Food package from dhabha had tampered expiry date.,anger
"Street lights are not functioning in opposite the hospital, Thiruvananthapuram; unsafe at night.",anger
Overhead tank in our building hasn't been cleaned for months in Thiruvananthapuram.,anger
"Contaminated water coming from municipal tap in near the railway station, Visakhapatnam.",anger
"Several residents have fever and vomiting in on the main road, Chennai; request medical camp.",anger
Essential medicines unavailable at hospital pharmacy in Kolkata.,anger
"Borewell dried up; families in in our colony, Nagpur are struggling.",anger
"Respiratory issues increasing due to pollution in near the railway station, Coimbatore.",anger
I found insects inside a biscuit packet bought from a street vendor in Thiruvananthapuram.,anger
Public toilet in outside the school is extremely unhygienic.,anger
I got food poisoning after eating from a roadside stall.,anger
Dumpyard near on the main road releases foul smell daily.,anger
"Respiratory issues increasing due to pollution in near the temple, Lucknow.",anger
"Illegal parking at the hospital entrance in by the lake, blocking ambulances.",anger
Vegetables in the behind the apartment market of Bengaluru were rotten and overpriced.,anger
"Auto drivers are overcharging and harassing passengers near beside the park, Delhi.",anger
"Illegal parking at the hospital entrance in near the temple, blocking ambulances.",anger
"Illegal parking blocking emergency access at at the bus stop, Hyderabad.",anger
Drunk men are creating nuisance near the bus stop daily.,anger
"Illegal parking blocking emergency access at behind the apartment, Coimbatore.",anger
Doctor gave wrong prescription causing health issue.,anger
Dirty water is coming through the pipelines in my street.,anger
"Illegal parking blocking emergency access at by the lake, Madurai.",anger
"Illegal parking blocking emergency access at in the municipal ward, Lucknow.",anger
"Ambulance delays causing panic in opposite the hospital, Hyderabad.",anger
Dumpyard near on the main road releases foul smell daily.,anger
"Ambulance delays causing panic in opposite the hospital, Coimbatore.",anger
Public toilet near the market in in our colony is very dirty and unhygienic.,anger
Dumpyard near near the temple releases foul smell daily.,anger
Vegetables in the near the temple market of Madurai were rotten and overpriced.,anger
"Ambulance delays causing panic in near the railway station, Mumbai.",anger
I found insects inside a biscuit packet bought from a canteen in Hyderabad.,anger
Vegetables in the near the temple market of Hyderabad were rotten and overpriced.,anger
Harassment incidents reported on by the lake road in Thiruvananthapuram.,anger
Vegetables in the near the railway station market of Kochi were rotten and overpriced.,anger
Vegetables in the near the market market of Visakhapatnam were rotten and overpriced.,anger
Vegetables in the near the market market of Surat were rotten and overpriced.,anger
Vegetables in the near the market market of Kolkata were rotten and overpriced.,anger
I found insects inside a biscuit packet bought from a milkman in Bhopal.,anger
Vegetables in the near the market market of Guwahati were rotten and overpriced.,anger
Vegetables in the inside the hostel market of Mysuru were rotten and overpriced.,anger
Vegetables in the inside the hostel market of Mangalore were rotten and overpriced.,anger
Vegetables in the in the municipal ward market of Mysuru were rotten and overpriced.,anger
I found insects inside a biscuit packet bought from a milkman in Jaipur.,anger
Vegetables in the in the municipal ward market of Bengaluru were rotten and overpriced.,anger
"Ambulance delays causing panic in opposite the hospital, Bhopal.",anger
Vegetables in the near the temple market of Visakhapatnam were rotten and overpriced.,anger
"Illegal parking blocking emergency access at inside the hostel, Jaipur.",anger
"Illegal parking blocking emergency access at inside the hostel, Patna.",anger
"Respiratory issues increasing due to pollution in outside the school, Coimbatore.",anger
"Kitchen waste attracting stray animals in at the bus stop, Thiruvananthapuram.",anger
"Respiratory issues increasing due to pollution in outside the school, Hyderabad.",anger
"Dirty water is coming from the municipal tap in near the market, Kolkata.",anger
"Borewell dried up; families in in our colony, Pune are struggling.",anger
"Unannounced water cut affecting households in behind the apartment, Surat.",anger
Auto drivers overcharging at by the lake in Madurai.,anger
"Unannounced water cut affecting households in at the bus stop, Mysuru.",anger
Public toilet in near the market is extremely unhygienic.,anger
Trash burning openly in outside the school; causing health issues.,anger
Trash burning openly in outside the school; causing health issues.,anger
Trash burning openly in outside the school; causing health issues.,anger
Essential medicines unavailable at hospital pharmacy in Bengaluru.,anger
Trash burning openly in on the main road; causing health issues.,anger
"Kitchen waste attracting stray animals in in our colony, Lucknow.",anger
Trash burning openly in next to the metro station; causing health issues.,anger
Trash burning openly in near the temple; causing health issues.,anger
"Unannounced water cut affecting households in by the lake, Guwahati.",anger
"Garbage truck skipped collection for a week in next to the metro station, Vellore.",anger
Auto drivers overcharging at beside the park in Guwahati.,anger
"Illegal parking blocking emergency access at outside the school, Kolkata.",anger
"Illegal parking blocking emergency access at near the market, Bhopal.",anger
Public toilet in outside the school is extremely unhygienic.,anger
"Illegal parking blocking emergency access at near the railway station, Kolkata.",anger
"Respiratory issues increasing due to pollution in next to the metro station, Mangalore.",anger
"Garbage truck skipped collection for a week in near the temple, Jaipur.",anger
Auto drivers are refusing rides and overcharging.,anger
"Illegal parking blocking emergency access at near the railway station, Mangalore.",anger
"Illegal parking blocking emergency access at next to the metro station, Chennai.",anger
"Unannounced water cut affecting households in near the temple, Mangalore.",anger
"Garbage truck skipped collection for a week in near the railway station, Thiruvananthapuram.",anger
"Illegal parking blocking emergency access at on the main road, Mysuru.",anger
"Unannounced water cut affecting households in near the railway station, Indore.",anger
"Illegal parking blocking emergency access at opposite the hospital, Trichy.",anger
"Garbage truck skipped collection for a week in near the railway station, Indore.",anger
"Illegal parking blocking emergency access at outside the school, Hyderabad.",anger
Auto drivers overcharging at behind the apartment in Mumbai.,anger
"Garbage truck skipped collection for a week in near the railway station, Chennai.",anger
"Illegal parking blocking emergency access at outside the school, Visakhapatnam.",anger
Dumpyard near near the temple releases foul smell daily.,anger
Vegetables in the next to the metro station market of Madurai were rotten and overpriced.,anger
Hospital staff in Vellore behaving rudely toward patients.,anger
"Respiratory issues increasing due to pollution in beside the park, Mumbai.",anger
"A stray dog attacked a child near outside the school, Thiruvananthapuram.",anger
Dumpyard near inside the hostel releases foul smell daily.,anger
"High number of respiratory problems due to pollution near outside the school, Coimbatore.",anger
Dumpyard near inside the hostel releases foul smell daily.,anger
Dumpyard near inside the hostel releases foul smell daily.,anger
Hospital pharmacy out of stock of essential medicines in Kolkata.,anger
"Water tanker skipped our street in in the municipal ward, causing shortage.",anger
"Water tanker skipped our street in in our colony, causing shortage.",anger
"Water tanker skipped our street in in our colony, causing shortage.",anger
"Water tanker skipped our street in in our colony, causing shortage.",anger
"Respiratory issues increasing due to pollution in by the lake, Guwahati.",anger
Dumpyard near behind the apartment releases foul smell daily.,anger
Harassment incidents reported on next to the metro station road in Pune.,anger
Hospital staff in Coimbatore behaving rudely toward patients.,anger
Dumpyard near behind the apartment releases foul smell daily.,anger
"Respiratory issues increasing due to pollution in by the lake, Indore.",anger
"High number of respiratory problems due to pollution near in the municipal ward, Visakhapatnam.",anger
Dumpyard near at the bus stop releases foul smell daily.,anger
"Water tanker skipped our street in near the railway station, causing shortage.",anger
"High number of respiratory problems due to pollution near in our colony, Madurai.",anger
"Heavy speeding by bikes near the school in in the municipal ward, Vellore creating danger.",anger
"A stray dog attacked a child near beside the park, Nagpur.",anger
"Heavy speeding by bikes near the school in in the municipal ward, Trichy creating danger.",anger
"Water tanker skipped our street in outside the school, causing shortage.",anger
"Heavy speeding by bikes near the school in in the municipal ward, Thiruvananthapuram creating danger.",anger
"Residents in opposite the hospital, Hyderabad are receiving very low water pressure.",anger
"Respiratory issues increasing due to pollution in at the bus stop, Delhi.",anger
"A stray dog attacked a child near in our colony, Visakhapatnam.",anger
"Water tanker skipped our street in opposite the hospital, causing shortage.",anger
"Respiratory issues increasing due to pollution in behind the apartment, Mumbai.",anger
"Respiratory issues increasing due to pollution in behind the apartment, Patna.",anger
"High number of respiratory problems due to pollution near by the lake, Patna.",anger
Dumpyard near by the lake releases foul smell daily.,anger
"Water tanker skipped our street in near the temple, causing shortage.",anger
"Water tanker skipped our street in near the temple, causing shortage.",anger
"Respiratory issues increasing due to pollution in beside the park, Jaipur.",anger
Harassment incidents reported on outside the school road in Patna.,anger
"Water tanker skipped our street in near the railway station, causing shortage.",anger
