complaint,category
"Street street vendor cooking in unhygienic conditions in by the lake, Delhi.",food
"Street street vendor cooking in unhygienic conditions in by the lake, Bhopal.",food
Street restaurant is preparing food with dirty utensils in Lucknow.,food
Street restaurant is preparing food with dirty utensils in Kolkata.,food
Food package from local shop had tampered expiry date.,food
Children fell sick after eating mid-day meal at school in Lucknow.,food
Children fell sick after eating mid-day meal at school in Mumbai.,food
Children fell sick after eating mid-day meal at school in Patna.,food
"Restaurant in next to the metro station, Pune served spoiled meat.",food
"Restaurant in next to the metro station, Visakhapatnam served spoiled meat.",food
"Restaurant in on the main road, Bhopal served spoiled meat.",food
"Restaurant in on the main road, Coimbatore served spoiled meat.",food
"Restaurant in on the main road, Guwahati served spoiled meat.",food
"Restaurant in on the main road, Jaipur served spoiled meat.",food
"Restaurant in on the main road, Kochi served spoiled meat.",food
"Restaurant in on the main road, Visakhapatnam served spoiled meat.",food
"Restaurant in opposite the hospital, Chennai served spoiled meat.",food
"Restaurant in opposite the hospital, Coimbatore served spoiled meat.",food
"Restaurant in opposite the hospital, Jaipur served spoiled meat.",food
"Restaurant in opposite the hospital, Lucknow served spoiled meat.",food
"Restaurant in opposite the hospital, Madurai served spoiled meat.",food
"Restaurant in next to the metro station, Nagpur served spoiled meat.",food
"Restaurant in opposite the hospital, Mysuru served spoiled meat.",food
"Restaurant in outside the school, Jaipur served spoiled meat.",food
"Restaurant in outside the school, Kochi served spoiled meat.",food
"Restaurant in outside the school, Lucknow served spoiled meat.",food
"Restaurant in outside the school, Mangalore served spoiled meat.",food
Restaurant near at the bus stop served undercooked chicken and the staff is unhygienic.,food
Restaurant near at the bus stop served undercooked chicken and the staff is unhygienic.,food
Restaurant near beside the park served undercooked chicken and the staff is unhygienic.,food
Restaurant near by the lake served undercooked chicken and the staff is unhygienic.,food
Restaurant near in our colony served undercooked chicken and the staff is unhygienic.,food
Restaurant near in the municipal ward served undercooked chicken and the staff is unhygienic.,food
Restaurant near inside the hostel served undercooked chicken and the staff is unhygienic.,food
Restaurant near inside the hostel served undercooked chicken and the staff is unhygienic.,food
Restaurant near inside the hostel served undercooked chicken and the staff is unhygienic.,food
"Restaurant in outside the school, Bengaluru served spoiled meat.",food
"Restaurant in next to the metro station, Mangalore served spoiled meat.",food
"Restaurant in next to the metro station, Madurai served spoiled meat.",food
"Restaurant in next to the metro station, Bhopal served spoiled meat.",food
Children fell sick after eating mid-day meal at school in Patna.,food
Children fell sick after eating mid-day meal at school in Thiruvananthapuram.,food
Children fell sick after eating mid-day meal at school in Thiruvananthapuram.,food
Children fell sick after eating mid-day meal at school in Trichy.,food
Children fell sick after eating mid-day meal at school in Trichy.,food
Children fell sick after eating mid-day meal at school in Vellore.,food
Children fell sick after eating mid-day meal at school in Vellore.,food
Children fell sick after eating mid-day meal at school in Vellore.,food
Children fell sick after eating mid-day meal at school in Visakhapatnam.,food
Children fell sick after eating mid-day meal at school in Visakhapatnam.,food
"Street milkman cooking in unhygienic conditions in at the bus stop, Madurai.",food
"Street milkman cooking in unhygienic conditions in at the bus stop, Kolkata.",food
"Street mess cooking in unhygienic conditions in opposite the hospital, Trichy.",food
"Street mess cooking in unhygienic conditions in next to the metro station, Pune.",food
"Street mess cooking in unhygienic conditions in next to the metro station, Bhopal.",food
"Street mess cooking in unhygienic conditions in inside the hostel, Bhopal.",food
"Street mess cooking in unhygienic conditions in at the bus stop, Kolkata.",food
Street local shop is preparing food with dirty utensils in Jaipur.,food
"Street local shop cooking in unhygienic conditions in on the main road, Thiruvananthapuram.",food
"Street local shop cooking in unhygienic conditions in next to the metro station, Chennai.",food
"Street local shop cooking in unhygienic conditions in in the municipal ward, Pune.",food
"Street local shop cooking in unhygienic conditions in in the municipal ward, Indore.",food
"Street local shop cooking in unhygienic conditions in in our colony, Thiruvananthapuram.",food
"Restaurant in near the railway station, Visakhapatnam served spoiled meat.",food
"Restaurant in near the temple, Bhopal served spoiled meat.",food
"Restaurant in near the temple, Coimbatore served spoiled meat.",food
"Restaurant in near the temple, Lucknow served spoiled meat.",food
"Restaurant in near the temple, Mysuru served spoiled meat.",food
"Restaurant in next to the metro station, Bengaluru served spoiled meat.",food
Restaurant near near the temple served undercooked chicken and the staff is unhygienic.,food
"Packaged milk from the milkman in on the main road, Visakhapatnam seems diluted.",food
"Packaged milk from the milkman in in our colony, Thiruvananthapuram seems diluted.",food
"Packaged milk from the milkman in by the lake, Madurai seems diluted.",food
The packaged snack I bought from street vendor had a torn expiry label.,food
The packaged snack I bought from street vendor had a torn expiry label.,food
The packaged snack I bought from street vendor had a torn expiry label.,food
The packaged snack I bought from restaurant had a torn expiry label.,food
The packaged snack I bought from ration shop had a torn expiry label.,food
The packaged snack I bought from ration shop had a torn expiry label.,food
The packaged snack I bought from milkman had a torn expiry label.,food
The packaged snack I bought from milkman had a torn expiry label.,food
The packaged snack I bought from mess had a torn expiry label.,food
The packaged snack I bought from mess had a torn expiry label.,food
The packaged snack I bought from mess had a torn expiry label.,food
The packaged snack I bought from dhabha had a torn expiry label.,food
The packaged snack I bought from dhabha had a torn expiry label.,food
The packaged snack I bought from tea stall had a torn expiry label.,food
The packaged snack I bought from canteen had a torn expiry label.,food
The packaged snack I bought from canteen had a torn expiry label.,food
The packaged snack I bought from canteen had a torn expiry label.,food
The packaged snack I bought from canteen had a torn expiry label.,food
The packaged snack I bought from canteen had a torn expiry label.,food
The packaged snack I bought from bakery had a torn expiry label.,food
The packaged biscuit I bought was expired.,food
"Street fruit seller cooking in unhygienic conditions in behind the apartment, Indore.",food
The milk supplied in the ration shop seems diluted.,food
The midday meal in school is watery and lacks nutrition.,food
The mess food in the hostel tastes spoiled and smells bad.,food
Street dhabha is preparing food with dirty utensils in Visakhapatnam.,food
The hotel served undercooked chicken.,food
The grocery store sold stale bread.,food
The packaged snack I bought from canteen had a torn expiry label.,food
Street dhabha is preparing food with dirty utensils in Kochi.,food
The packaged snack I bought from tea stall had a torn expiry label.,food
"Street fruit seller cooking in unhygienic conditions in behind the apartment, Visakhapatnam.",food
Expired snacks being sold by the mess in Thiruvananthapuram.,food
Expired snacks being sold by the mess in Pune.,food
Expired snacks being sold by the mess in Madurai.,food
Expired snacks being sold by the mess in Lucknow.,food
Expired snacks being sold by the mess in Bengaluru.,food
Expired snacks being sold by the local shop in Nagpur.,food
Expired snacks being sold by the local shop in Jaipur.,food
Expired snacks being sold by the local shop in Bhopal.,food
Expired snacks being sold by the fruit seller in Thiruvananthapuram.,food
Expired snacks being sold by the fruit seller in Surat.,food
Expired snacks being sold by the fruit seller in Surat.,food
Expired snacks being sold by the fruit seller in Pune.,food
Expired snacks being sold by the fruit seller in Lucknow.,food
The packaged snack I bought from tea stall had a torn expiry label.,food
Expired snacks being sold by the fruit seller in Delhi.,food
Expired snacks being sold by the dhabha in Visakhapatnam.,food
Expired snacks being sold by the dhabha in Thiruvananthapuram.,food
Expired snacks being sold by the dhabha in Thiruvananthapuram.,food
Expired snacks being sold by the dhabha in Pune.,food
Expired snacks being sold by the dhabha in Patna.,food
Expired snacks being sold by the dhabha in Patna.,food
Expired snacks being sold by the dhabha in Madurai.,food
"Street fruit seller cooking in unhygienic conditions in near the railway station, Indore.",food
The tea stall is reusing old oil for frying pakoras.,food
"Street fruit seller cooking in unhygienic conditions in near the railway station, Indore.",food
"Street fruit seller cooking in unhygienic conditions in near the market, Bhopal.",food
"Street fruit seller cooking in unhygienic conditions in beside the park, Indore.",food
The restaurant near the bus stand is serving unhygienic food.,food
Expired snacks being sold by the fruit seller in Chennai.,food
The fruits sold in the market look chemically ripened.,food
Street dhabha is preparing food with dirty utensils in Hyderabad.,food
"The food served at the vegetable stall in outside the school, Chennai was stale.",food
Street canteen is preparing food with dirty utensils in Lucknow.,food
Street canteen is preparing food with dirty utensils in Delhi.,food
"Street canteen cooking in unhygienic conditions in next to the metro station, Lucknow.",food
"Street canteen cooking in unhygienic conditions in next to the metro station, Kolkata.",food
"Street canteen cooking in unhygienic conditions in near the temple, Delhi.",food
"Street canteen cooking in unhygienic conditions in near the market, Pune.",food
"Street canteen cooking in unhygienic conditions in in our colony, Visakhapatnam.",food
"Street canteen cooking in unhygienic conditions in behind the apartment, Kolkata.",food
"Street canteen cooking in unhygienic conditions in behind the apartment, Bhopal.",food
"Street bakery cooking in unhygienic conditions in opposite the hospital, Mumbai.",food
"Street bakery cooking in unhygienic conditions in opposite the hospital, Bhopal.",food
"Street bakery cooking in unhygienic conditions in next to the metro station, Pune.",food
"Street bakery cooking in unhygienic conditions in next to the metro station, Jaipur.",food
Street canteen is preparing food with dirty utensils in Lucknow.,food
"Street bakery cooking in unhygienic conditions in next to the metro station, Chennai.",food
"Street bakery cooking in unhygienic conditions in near the market, Mysuru.",food
"Street bakery cooking in unhygienic conditions in in the municipal ward, Chennai.",food
"Street bakery cooking in unhygienic conditions in in our colony, Bengaluru.",food
"Street bakery cooking in unhygienic conditions in behind the apartment, Vellore.",food
Expired snacks being sold by the canteen in Trichy.,food
Expired snacks being sold by the canteen in Patna.,food
Expired snacks being sold by the canteen in Bhopal.,food
Expired snacks being sold by the bakery in Visakhapatnam.,food
Expired snacks being sold by the bakery in Patna.,food
Expired snacks being sold by the bakery in Madurai.,food
Expired snacks being sold by the bakery in Kochi.,food
Expired snacks being sold by the bakery in Chennai.,food
Expired snacks being sold by the bakery in Bhopal.,food
"Street bakery cooking in unhygienic conditions in near the temple, Lucknow.",food
"Street dhabha cooking in unhygienic conditions in beside the park, Indore.",food
"The food served at the ration shop in by the lake, Madurai was stale.",food
"The food served at the ration shop in by the lake, Nagpur was stale.",food
"The food served at the vegetable stall in next to the metro station, Delhi was stale.",food
"The food served at the vegetable stall in in the municipal ward, Patna was stale.",food
"The food served at the vegetable stall in in the municipal ward, Madurai was stale.",food
"The food served at the vegetable stall in beside the park, Nagpur was stale.",food
"The food served at the tea stall in outside the school, Mysuru was stale.",food
"The food served at the tea stall in outside the school, Bengaluru was stale.",food
"The food served at the tea stall in near the railway station, Lucknow was stale.",food
"The food served at the tea stall in near the railway station, Delhi was stale.",food
"The food served at the tea stall in in our colony, Mumbai was stale.",food
"The food served at the tea stall in in our colony, Kolkata was stale.",food
"The food served at the tea stall in in our colony, Delhi was stale.",food
"The food served at the tea stall in at the bus stop, Thiruvananthapuram was stale.",food
"The food served at the tea stall in at the bus stop, Patna was stale.",food
"The food served at the tea stall in at the bus stop, Coimbatore was stale.",food
"The food served at the street vendor in outside the school, Jaipur was stale.",food
"The food served at the street vendor in opposite the hospital, Vellore was stale.",food
"The food served at the street vendor in near the market, Vellore was stale.",food
"The food served at the street vendor in in the municipal ward, Visakhapatnam was stale.",food
"The food served at the restaurant in outside the school, Bhopal was stale.",food
"The food served at the restaurant in on the main road, Kochi was stale.",food
"The food served at the restaurant in near the railway station, Guwahati was stale.",food
"The food served at the ration shop in opposite the hospital, Pune was stale.",food
"The food served at the ration shop in near the railway station, Thiruvananthapuram was stale.",food
"The food served at the ration shop in near the railway station, Pune was stale.",food
"The food served at the ration shop in near the market, Kochi was stale.",food
"The food served at the ration shop in inside the hostel, Madurai was stale.",food
"The food served at the ration shop in inside the hostel, Bengaluru was stale.",food
"The food served at the ration shop in in the municipal ward, Bengaluru was stale.",food
"The food served at the ration shop in in our colony, Lucknow was stale.",food
Expired snacks being sold by the mess in Trichy.,food
Expired snacks being sold by the mess in Vellore.,food
Expired snacks being sold by the milkman in Mumbai.,food
Expired snacks being sold by the milkman in Mumbai.,food
Dairy products from local shop in Madurai had foul smell.,food
Dairy products from local shop in Patna had foul smell.,food
Dairy products from local shop in Patna had foul smell.,food
Dairy products from local shop in Pune had foul smell.,food
Dairy products from mess in Bengaluru had foul smell.,food
Dairy products from mess in Chennai had foul smell.,food
Dairy products from mess in Delhi had foul smell.,food
Dairy products from mess in Jaipur had foul smell.,food
Dairy products from mess in Jaipur had foul smell.,food
Dairy products from mess in Lucknow had foul smell.,food
Dairy products from mess in Madurai had foul smell.,food
Dairy products from mess in Mangalore had foul smell.,food
Dairy products from mess in Patna had foul smell.,food
Dairy products from local shop in Lucknow had foul smell.,food
Dairy products from mess in Vellore had foul smell.,food
Dairy products from milkman in Indore had foul smell.,food
Dairy products from milkman in Madurai had foul smell.,food
Dairy products from milkman in Mangalore had foul smell.,food
Dairy products from milkman in Trichy had foul smell.,food
Dairy products from milkman in Vellore had foul smell.,food
Dairy products from milkman in Visakhapatnam had foul smell.,food
Dairy products from ration shop in Bhopal had foul smell.,food
Dairy products from ration shop in Chennai had foul smell.,food
Dairy products from ration shop in Chennai had foul smell.,food
Dairy products from ration shop in Coimbatore had foul smell.,food
Dairy products from ration shop in Coimbatore had foul smell.,food
Dairy products from ration shop in Guwahati had foul smell.,food
Dairy products from ration shop in Jaipur had foul smell.,food
Dairy products from milkman in Coimbatore had foul smell.,food
Dairy products from local shop in Jaipur had foul smell.,food
Dairy products from local shop in Indore had foul smell.,food
Dairy products from local shop in Delhi had foul smell.,food
"Packaged milk from the mess in near the temple, Bhopal seems diluted.",food
"Packaged milk from the local shop in near the temple, Patna seems diluted.",food
"Packaged milk from the dhabha in outside the school, Visakhapatnam seems diluted.",food
"Packaged milk from the dhabha in outside the school, Trichy seems diluted.",food
"Packaged milk from the dhabha in in our colony, Patna seems diluted.",food
Expired snacks being sold by the restaurant in Jaipur.,food
Dairy products from bakery in Chennai had foul smell.,food
Dairy products from bakery in Coimbatore had foul smell.,food
Dairy products from bakery in Mumbai had foul smell.,food
Dairy products from bakery in Patna had foul smell.,food
Dairy products from bakery in Surat had foul smell.,food
Dairy products from bakery in Trichy had foul smell.,food
Dairy products from canteen in Guwahati had foul smell.,food
Dairy products from canteen in Kolkata had foul smell.,food
Dairy products from dhabha in Chennai had foul smell.,food
Dairy products from dhabha in Hyderabad had foul smell.,food
Dairy products from dhabha in Madurai had foul smell.,food
Dairy products from dhabha in Mumbai had foul smell.,food
Dairy products from dhabha in Pune had foul smell.,food
Dairy products from dhabha in Vellore had foul smell.,food
Dairy products from fruit seller in Bhopal had foul smell.,food
Dairy products from fruit seller in Chennai had foul smell.,food
Dairy products from fruit seller in Hyderabad had foul smell.,food
Dairy products from fruit seller in Jaipur had foul smell.,food
Dairy products from fruit seller in Madurai had foul smell.,food
Dairy products from fruit seller in Mumbai had foul smell.,food
Dairy products from fruit seller in Mysuru had foul smell.,food
Dairy products from fruit seller in Mysuru had foul smell.,food
Dairy products from fruit seller in Patna had foul smell.,food
Dairy products from ration shop in Mangalore had foul smell.,food
"Students fell ill after eating from the street vendor in in our colony, Jaipur.",food
Dairy products from ration shop in Mumbai had foul smell.,food
Dairy products from ration shop in Patna had foul smell.,food
Dairy products from the ration shop in Vellore have a strange smell.,food
Dairy products from the tea stall in Bhopal have a strange smell.,food
Dairy products from the tea stall in Bhopal have a strange smell.,food
Dairy products from the tea stall in Pune have a strange smell.,food
Dairy products from vegetable stall in Bengaluru had foul smell.,food
Dairy products from vegetable stall in Vellore had foul smell.,food
Expired snacks being sold by the restaurant in Delhi.,food
"Packaged milk from the dhabha in in our colony, Bengaluru seems diluted.",food
"Packaged milk from the dhabha in beside the park, Visakhapatnam seems diluted.",food
"Packaged milk from the dhabha in beside the park, Kolkata seems diluted.",food
"Packaged milk from the canteen in outside the school, Pune seems diluted.",food
"Packaged milk from the canteen in on the main road, Trichy seems diluted.",food
"Packaged milk from the canteen in near the temple, Nagpur seems diluted.",food
Dairy products from the milkman in Vellore have a strange smell.,food
"Packaged milk from the canteen in at the bus stop, Kochi seems diluted.",food
"Packaged milk from the bakery in outside the school, Kochi seems diluted.",food
"Packaged milk from the bakery in by the lake, Patna seems diluted.",food
"Packaged milk from the bakery in at the bus stop, Jaipur seems diluted.",food
Expired snacks being sold by the restaurant in Delhi.,food
Expired snacks being sold by the restaurant in Coimbatore.,food
Expired snacks being sold by the ration shop in Visakhapatnam.,food
Expired snacks being sold by the ration shop in Surat.,food
Expired snacks being sold by the ration shop in Lucknow.,food
Expired snacks being sold by the ration shop in Chennai.,food
Expired snacks being sold by the ration shop in Chennai.,food
Expired snacks being sold by the ration shop in Bhopal.,food
Expired snacks being sold by the milkman in Trichy.,food
Expired snacks being sold by the milkman in Surat.,food
"Packaged milk from the bakery in outside the school, Patna seems diluted.",food
Dairy products from the milkman in Patna have a strange smell.,food
Dairy products from the milkman in Hyderabad have a strange smell.,food
Dairy products from the milkman in Bengaluru have a strange smell.,food
Dairy products from ration shop in Pune had foul smell.,food
Dairy products from ration shop in Pune had foul smell.,food
Dairy products from restaurant in Indore had foul smell.,food
Dairy products from restaurant in Kochi had foul smell.,food
Dairy products from restaurant in Lucknow had foul smell.,food
Dairy products from restaurant in Madurai had foul smell.,food
Dairy products from restaurant in Mysuru had foul smell.,food
Dairy products from street vendor in Hyderabad had foul smell.,food
Dairy products from street vendor in Jaipur had foul smell.,food
Dairy products from street vendor in Nagpur had foul smell.,food
Dairy products from street vendor in Thiruvananthapuram had foul smell.,food
Dairy products from tea stall in Bengaluru had foul smell.,food
Dairy products from tea stall in Chennai had foul smell.,food
Dairy products from tea stall in Guwahati had foul smell.,food
Dairy products from tea stall in Jaipur had foul smell.,food
Dairy products from tea stall in Kochi had foul smell.,food
Dairy products from tea stall in Kolkata had foul smell.,food
Dairy products from tea stall in Lucknow had foul smell.,food
Dairy products from tea stall in Pune had foul smell.,food
Dairy products from tea stall in Thiruvananthapuram had foul smell.,food
Dairy products from the bakery in Bengaluru have a strange smell.,food
Dairy products from the bakery in Lucknow have a strange smell.,food
