,complaint,category,emotion,department
150,Auto drivers overcharging at at the bus stop in Vellore.,safety,worry,Police
151,Auto drivers overcharging at behind the apartment in Guwahati.,safety,disgust,Police
152,Auto drivers overcharging at behind the apartment in Jaipur.,safety,concern,Police
153,Auto drivers overcharging at behind the apartment in Jaipur.,safety,neutral,Police
154,Auto drivers overcharging at behind the apartment in Lucknow.,safety,worry,Police
155,Auto drivers overcharging at behind the apartment in Mangalore.,safety,urgency,Police
156,Auto drivers overcharging at behind the apartment in Mumbai.,safety,anger,Police
157,Auto drivers overcharging at behind the apartment in Thiruvananthapuram.,safety,disgust,Police
158,Auto drivers overcharging at behind the apartment in Visakhapatnam.,safety,sadness,Police
159,Auto drivers overcharging at beside the park in Coimbatore.,safety,worry,Police
160,Auto drivers overcharging at beside the park in Guwahati.,safety,anger,Police
161,Auto drivers overcharging at beside the park in Jaipur.,safety,sadness,Police
162,Auto drivers overcharging at beside the park in Jaipur.,safety,sadness,Police
163,Auto drivers overcharging at beside the park in Kochi.,safety,urgency,Police
164,Auto drivers overcharging at beside the park in Madurai.,safety,concern,Police
165,Auto drivers overcharging at beside the park in Pune.,safety,sadness,Police
166,Auto drivers overcharging at beside the park in Vellore.,safety,concern,Police
167,Auto drivers overcharging at by the lake in Chennai.,safety,concern,Police
168,Auto drivers overcharging at by the lake in Jaipur.,safety,neutral,Police
169,Auto drivers overcharging at by the lake in Madurai.,safety,anger,Police
170,Auto drivers overcharging at by the lake in Madurai.,safety,disgust,Police
171,Auto drivers overcharging at by the lake in Mysuru.,safety,neutral,Police
172,Auto drivers overcharging at by the lake in Trichy.,safety,urgency,Police
173,Auto drivers overcharging at in our colony in Delhi.,safety,frustration,Police
174,Auto drivers overcharging at in our colony in Hyderabad.,safety,worry,Police
175,Auto drivers overcharging at in our colony in Mysuru.,safety,sadness,Police
176,Auto drivers overcharging at in our colony in Pune.,safety,urgency,Police
177,Auto drivers overcharging at in our colony in Surat.,safety,worry,Police
178,Auto drivers overcharging at in our colony in Trichy.,safety,worry,Police
179,Auto drivers overcharging at in the municipal ward in Bengaluru.,safety,worry,Police
180,Auto drivers overcharging at in the municipal ward in Jaipur.,safety,frustration,Police
181,Auto drivers overcharging at in the municipal ward in Thiruvananthapuram.,safety,disgust,Police
182,Auto drivers overcharging at in the municipal ward in Visakhapatnam.,safety,frustration,Police
183,Auto drivers overcharging at inside the hostel in Indore.,safety,anger,Police
184,Auto drivers overcharging at inside the hostel in Mumbai.,safety,urgency,Police
185,Auto drivers overcharging at inside the hostel in Mysuru.,safety,disgust,Police
186,Auto drivers overcharging at near the market in Bhopal.,safety,anger,Police
187,Auto drivers overcharging at near the market in Coimbatore.,safety,worry,Police
188,Auto drivers overcharging at near the market in Delhi.,safety,concern,Police
189,Auto drivers overcharging at near the market in Delhi.,safety,concern,Police
190,Auto drivers overcharging at near the market in Indore.,safety,sadness,Police
191,Auto drivers overcharging at near the market in Mangalore.,safety,anger,Police
192,Auto drivers overcharging at near the market in Vellore.,safety,neutral,Police
193,Auto drivers overcharging at near the railway station in Delhi.,safety,neutral,Police
194,Auto drivers overcharging at near the railway station in Hyderabad.,safety,frustration,Police
195,Auto drivers overcharging at near the railway station in Vellore.,safety,frustration,Police
196,Auto drivers overcharging at near the railway station in Vellore.,safety,worry,Police
197,Auto drivers overcharging at near the temple in Delhi.,safety,neutral,Police
198,Auto drivers overcharging at near the temple in Kochi.,safety,neutral,Police
199,Auto drivers overcharging at near the temple in Surat.,safety,disgust,Police
200,Auto drivers overcharging at near the temple in Surat.,safety,urgency,Police
201,Auto drivers overcharging at near the temple in Trichy.,safety,urgency,Police
202,Auto drivers overcharging at next to the metro station in Bengaluru.,safety,anger,Police
203,Auto drivers overcharging at next to the metro station in Chennai.,safety,concern,Police
204,Auto drivers overcharging at next to the metro station in Guwahati.,safety,anger,Police
205,Auto drivers overcharging at next to the metro station in Indore.,safety,anger,Police
206,Auto drivers overcharging at next to the metro station in Kochi.,safety,worry,Police
207,Auto drivers overcharging at next to the metro station in Madurai.,safety,worry,Police
208,Auto drivers overcharging at on the main road in Hyderabad.,safety,urgency,Police
209,Auto drivers overcharging at on the main road in Indore.,safety,sadness,Police
210,Auto drivers overcharging at on the main road in Surat.,safety,concern,Police
211,Auto drivers overcharging at on the main road in Visakhapatnam.,safety,neutral,Police
212,Auto drivers overcharging at opposite the hospital in Chennai.,safety,anger,Police
213,Auto drivers overcharging at opposite the hospital in Jaipur.,safety,anger,Police
214,Auto drivers overcharging at opposite the hospital in Jaipur.,safety,worry,Police
215,Auto drivers overcharging at opposite the hospital in Madurai.,safety,disgust,Police
216,Auto drivers overcharging at opposite the hospital in Mangalore.,safety,frustration,Police
217,Auto drivers overcharging at outside the school in Bhopal.,safety,disgust,Police
218,Auto drivers overcharging at outside the school in Coimbatore.,safety,urgency,Police
219,Auto drivers overcharging at outside the school in Guwahati.,safety,disgust,Police
220,Auto drivers overcharging at outside the school in Lucknow.,safety,concern,Police
221,Auto drivers overcharging at outside the school in Patna.,safety,anger,Police
222,Auto drivers overcharging at outside the school in Pune.,safety,anger,Police
223,Auto drivers overcharging at outside the school in Pune.,safety,urgency,Police
224,Auto drivers overcharging at outside the school in Trichy.,safety,anger,Police
225,"Biscuit packet bought from bakery in at the bus stop, Thiruvananthapuram contained insects.",food,worry,Food Safety Dept.
226,"Biscuit packet bought from bakery in behind the apartment, Chennai contained insects.",food,sadness,Food Safety Dept.
227,"Biscuit packet bought from bakery in beside the park, Visakhapatnam contained insects.",food,neutral,Food Safety Dept.
228,"Biscuit packet bought from bakery in inside the hostel, Mangalore contained insects.",food,frustration,Food Safety Dept.
229,"Biscuit packet bought from bakery in near the temple, Chennai contained insects.",food,sadness,Food Safety Dept.
230,"Biscuit packet bought from bakery in on the main road, Bengaluru contained insects.",food,worry,Food Safety Dept.
231,"Biscuit packet bought from bakery in on the main road, Coimbatore contained insects.",food,concern,Food Safety Dept.
232,"Biscuit packet bought from canteen in at the bus stop, Nagpur contained insects.",food,neutral,Food Safety Dept.
233,"Biscuit packet bought from canteen in behind the apartment, Madurai contained insects.",food,disgust,Food Safety Dept.
234,"Biscuit packet bought from canteen in behind the apartment, Thiruvananthapuram contained insects.",food,sadness,Food Safety Dept.
235,"Biscuit packet bought from canteen in behind the apartment, Thiruvananthapuram contained insects.",food,urgency,Food Safety Dept.
236,"Biscuit packet bought from canteen in near the market, Lucknow contained insects.",food,sadness,Food Safety Dept.
237,"Biscuit packet bought from canteen in near the railway station, Madurai contained insects.",food,anger,Food Safety Dept.
238,"Biscuit packet bought from canteen in outside the school, Indore contained insects.",food,frustration,Food Safety Dept.
239,"Biscuit packet bought from dhabha in beside the park, Kolkata contained insects.",food,disgust,Food Safety Dept.
240,"Biscuit packet bought from dhabha in by the lake, Patna contained insects.",food,concern,Food Safety Dept.
241,"Biscuit packet bought from dhabha in near the market, Madurai contained insects.",food,sadness,Food Safety Dept.
242,"Biscuit packet bought from fruit seller in in our colony, Surat contained insects.",food,disgust,Food Safety Dept.
243,"Biscuit packet bought from fruit seller in inside the hostel, Kolkata contained insects.",food,sadness,Food Safety Dept.
244,"Biscuit packet bought from fruit seller in inside the hostel, Patna contained insects.",food,disgust,Food Safety Dept.
245,"Biscuit packet bought from fruit seller in inside the hostel, Trichy contained insects.",food,frustration,Food Safety Dept.
246,"Biscuit packet bought from fruit seller in near the railway station, Bengaluru contained insects.",food,concern,Food Safety Dept.
247,"Biscuit packet bought from fruit seller in near the railway station, Bengaluru contained insects.",food,neutral,Food Safety Dept.
248,"Biscuit packet bought from fruit seller in near the railway station, Mumbai contained insects.",food,disgust,Food Safety Dept.
249,"Biscuit packet bought from fruit seller in opposite the hospital, Thiruvananthapuram contained insects.",food,worry,Food Safety Dept.
250,"Biscuit packet bought from fruit seller in outside the school, Jaipur contained insects.",food,neutral,Food Safety Dept.
251,"Biscuit packet bought from local shop in at the bus stop, Hyderabad contained insects.",food,neutral,Food Safety Dept.
252,"Biscuit packet bought from local shop in beside the park, Surat contained insects.",food,anger,Food Safety Dept.
253,"Biscuit packet bought from local shop in by the lake, Mumbai contained insects.",food,worry,Food Safety Dept.
254,"Biscuit packet bought from local shop in in our colony, Kolkata contained insects.",food,urgency,Food Safety Dept.
255,"Biscuit packet bought from local shop in near the market, Surat contained insects.",food,sadness,Food Safety Dept.
256,"Biscuit packet bought from local shop in opposite the hospital, Patna contained insects.",food,worry,Food Safety Dept.
257,"Biscuit packet bought from local shop in outside the school, Chennai contained insects.",food,disgust,Food Safety Dept.
258,"Biscuit packet bought from local shop in outside the school, Vellore contained insects.",food,disgust,Food Safety Dept.
259,"Biscuit packet bought from mess in at the bus stop, Visakhapatnam contained insects.",food,concern,Food Safety Dept.
260,"Biscuit packet bought from mess in in the municipal ward, Coimbatore contained insects.",food,neutral,Food Safety Dept.
261,"Biscuit packet bought from mess in inside the hostel, Nagpur contained insects.",food,neutral,Food Safety Dept.
262,"Biscuit packet bought from mess in inside the hostel, Patna contained insects.",food,neutral,Food Safety Dept.
263,"Biscuit packet bought from mess in on the main road, Coimbatore contained insects.",food,disgust,Food Safety Dept.
264,"Biscuit packet bought from milkman in at the bus stop, Chennai contained insects.",food,disgust,Food Safety Dept.
265,"Biscuit packet bought from milkman in behind the apartment, Mangalore contained insects.",food,anger,Food Safety Dept.
266,"Biscuit packet bought from milkman in by the lake, Lucknow contained insects.",food,concern,Food Safety Dept.
267,"Biscuit packet bought from milkman in inside the hostel, Pune contained insects.",food,concern,Food Safety Dept.
268,"Biscuit packet bought from milkman in near the market, Bhopal contained insects.",food,anger,Food Safety Dept.
269,"Biscuit packet bought from milkman in next to the metro station, Visakhapatnam contained insects.",food,worry,Food Safety Dept.
270,"Biscuit packet bought from ration shop in at the bus stop, Trichy contained insects.",food,urgency,Food Safety Dept.
271,"Biscuit packet bought from ration shop in in the municipal ward, Delhi contained insects.",food,neutral,Food Safety Dept.
272,"Biscuit packet bought from ration shop in in the municipal ward, Mangalore contained insects.",food,frustration,Food Safety Dept.
273,"Biscuit packet bought from ration shop in near the market, Kolkata contained insects.",food,worry,Food Safety Dept.
274,"Biscuit packet bought from ration shop in near the railway station, Thiruvananthapuram contained insects.",food,disgust,Food Safety Dept.
275,"Biscuit packet bought from ration shop in next to the metro station, Lucknow contained insects.",food,neutral,Food Safety Dept.
276,"Biscuit packet bought from restaurant in at the bus stop, Visakhapatnam contained insects.",food,concern,Food Safety Dept.
277,"Biscuit packet bought from restaurant in beside the park, Delhi contained insects.",food,frustration,Food Safety Dept.
278,"Biscuit packet bought from restaurant in by the lake, Kolkata contained insects.",food,urgency,Food Safety Dept.
279,"Biscuit packet bought from restaurant in in our colony, Bhopal contained insects.",food,disgust,Food Safety Dept.
280,"Biscuit packet bought from restaurant in in our colony, Madurai contained insects.",food,disgust,Food Safety Dept.
281,"Biscuit packet bought from restaurant in near the railway station, Hyderabad contained insects.",food,neutral,Food Safety Dept.
282,"Biscuit packet bought from restaurant in on the main road, Mysuru contained insects.",food,disgust,Food Safety Dept.
283,"Biscuit packet bought from street vendor in by the lake, Mangalore contained insects.",food,frustration,Food Safety Dept.
284,"Biscuit packet bought from street vendor in in our colony, Mangalore contained insects.",food,neutral,Food Safety Dept.
285,"Biscuit packet bought from street vendor in in the municipal ward, Hyderabad contained insects.",food,urgency,Food Safety Dept.
286,"Biscuit packet bought from street vendor in in the municipal ward, Trichy contained insects.",food,anger,Food Safety Dept.
287,"Biscuit packet bought from street vendor in inside the hostel, Pune contained insects.",food,concern,Food Safety Dept.
288,"Biscuit packet bought from street vendor in near the railway station, Trichy contained insects.",food,anger,Food Safety Dept.
289,"Biscuit packet bought from street vendor in near the temple, Mumbai contained insects.",food,urgency,Food Safety Dept.
290,"Biscuit packet bought from street vendor in opposite the hospital, Bengaluru contained insects.",food,urgency,Food Safety Dept.
291,"Biscuit packet bought from street vendor in opposite the hospital, Chennai contained insects.",food,frustration,Food Safety Dept.
292,"Biscuit packet bought from street vendor in outside the school, Kochi contained insects.",food,urgency,Food Safety Dept.
293,"Biscuit packet bought from tea stall in inside the hostel, Kochi contained insects.",food,frustration,Food Safety Dept.
294,"Biscuit packet bought from tea stall in near the market, Jaipur contained insects.",food,worry,Food Safety Dept.
295,"Biscuit packet bought from tea stall in near the railway station, Hyderabad contained insects.",food,worry,Food Safety Dept.
296,"Biscuit packet bought from tea stall in near the railway station, Jaipur contained insects.",food,worry,Food Safety Dept.
297,"Biscuit packet bought from tea stall in opposite the hospital, Bhopal contained insects.",food,disgust,Food Safety Dept.
298,"Biscuit packet bought from vegetable stall in in our colony, Thiruvananthapuram contained insects.",food,frustration,Food Safety Dept.
299,"Biscuit packet bought from vegetable stall in near the temple, Jaipur contained insects.",food,neutral,Food Safety Dept.
300,"Biscuit packet bought from vegetable stall in near the temple, Lucknow contained insects.",food,concern,Food Safety Dept.
301,"Biscuit packet bought from vegetable stall in next to the metro station, Coimbatore contained insects.",food,sadness,Food Safety Dept.
302,"Biscuit packet bought from vegetable stall in opposite the hospital, Delhi contained insects.",food,frustration,Food Safety Dept.
303,"Borewell dried up; families in at the bus stop, Bengaluru are struggling.",water,neutral,Municipality
304,"Borewell dried up; families in at the bus stop, Hyderabad are struggling.",water,anger,Municipality
305,"Borewell dried up; families in at the bus stop, Kolkata are struggling.",water,worry,Municipality
306,"Borewell dried up; families in at the bus stop, Lucknow are struggling.",water,concern,Municipality
307,"Borewell dried up; families in at the bus stop, Mumbai are struggling.",water,sadness,Municipality
308,"Borewell dried up; families in at the bus stop, Vellore are struggling.",water,disgust,Municipality
309,"Borewell dried up; families in at the bus stop, Vellore are struggling.",water,urgency,Municipality
310,"Borewell dried up; families in behind the apartment, Bhopal are struggling.",water,neutral,Municipality
311,"Borewell dried up; families in behind the apartment, Delhi are struggling.",water,disgust,Municipality
312,"Borewell dried up; families in behind the apartment, Guwahati are struggling.",water,disgust,Municipality
313,"Borewell dried up; families in behind the apartment, Guwahati are struggling.",water,neutral,Municipality
314,"Borewell dried up; families in behind the apartment, Hyderabad are struggling.",water,disgust,Municipality
315,"Borewell dried up; families in behind the apartment, Hyderabad are struggling.",water,worry,Municipality
316,"Borewell dried up; families in behind the apartment, Mangalore are struggling.",water,frustration,Municipality
317,"Borewell dried up; families in behind the apartment, Mumbai are struggling.",water,anger,Municipality
318,"Borewell dried up; families in behind the apartment, Thiruvananthapuram are struggling.",water,frustration,Municipality
319,"Borewell dried up; families in beside the park, Bhopal are struggling.",water,disgust,Municipality
320,"Borewell dried up; families in beside the park, Coimbatore are struggling.",water,disgust,Municipality
321,"Borewell dried up; families in beside the park, Kolkata are struggling.",water,disgust,Municipality
322,"Borewell dried up; families in beside the park, Nagpur are struggling.",water,frustration,Municipality
323,"Borewell dried up; families in by the lake, Bengaluru are struggling.",water,worry,Municipality
324,"Borewell dried up; families in by the lake, Chennai are struggling.",water,disgust,Municipality
325,"Borewell dried up; families in by the lake, Indore are struggling.",water,urgency,Municipality
326,"Borewell dried up; families in by the lake, Pune are struggling.",water,urgency,Municipality
327,"Borewell dried up; families in by the lake, Trichy are struggling.",water,neutral,Municipality
328,"Borewell dried up; families in by the lake, Vellore are struggling.",water,frustration,Municipality
329,"Borewell dried up; families in by the lake, Visakhapatnam are struggling.",water,sadness,Municipality
330,"Borewell dried up; families in in our colony, Bhopal are struggling.",water,frustration,Municipality
331,"Borewell dried up; families in in our colony, Coimbatore are struggling.",water,sadness,Municipality
332,"Borewell dried up; families in in our colony, Indore are struggling.",water,urgency,Municipality
333,"Borewell dried up; families in in our colony, Jaipur are struggling.",water,frustration,Municipality
